,GSM359972,GSM359973,GSM359974,GSM359975,GSM359976,GSM359977,GSM359978,GSM359979,GSM359980,GSM359981,GSM359982,GSM359983,GSM359984,GSM360039,GSM360040,GSM360041,GSM360042,GSM360043,GSM360044,GSM360045,GSM360046,GSM360047,GSM360048,GSM360049
DDR1,3971.69,1960.09,2783.37,2159.57,1606.38,3678.11,1477.52,2278.2,1020.31,1941.45,1569.94,2207.03,7627.08,4582.94,5291.8,2892.66,4839.49,5249.06,2956.67,5391.1,4536.33,2866.91,4681.64,4283.87
RFC2,318.88,199.035,324.774,299.358,155.957,279.881,100.574,234.04,149.272,95.4396,126.151,225.886,390.509,108.685,94.9019,274.959,154.542,151.369,123.553,163.2,103.614,411.915,76.2613,316.532
HSPA6,29.9351,125.046,147.306,97.915,41.6004,207.377,21.9873,159.743,64.3492,61.5415,730.459,39.1713,20.1453,117.919,195.682,105.617,269.987,19.3696,359.494,256.96,398.467,33.0497,92.3992,49.3012
PAX8,747.052,775.955,1083.99,977.232,641.556,1236.34,508.222,1278.48,528.405,3140.68,1358,5372.87,7491.51,4057.42,13968.9,3325.01,11257.9,17265.8,4382,11731,6002.31,5891.46,7982.93,6829.25
GUCA1A,12.9366,29.4865,59.3691,18.9382,10.9505,36.1149,15.9366,40.6492,6.41202,20.1139,7.79616,7.64554,139.951,126.423,229.074,24.805,250.129,38.624,98.7362,13.4486,33.8016,24.2555,191.999,56.6678
UBA7,353.961,252.896,230.759,162.752,160.522,252.319,133.184,205.474,79.1525,367.577,164.902,499.743,1099.6,537.324,1014.54,360.671,292.145,1369.64,672.256,909.064,698.491,595.742,683.515,696.297
THRA,319.086,145.504,305.787,236.611,429.066,361.144,143.362,583.964,174.146,460.555,397.803,644.964,549.676,250.626,822.043,268.071,286.204,640.145,565.624,216.355,610.841,322.289,597.976,793.799
PTPN21,13.5411,15.9191,14.9339,26.168,21.953,30.591,7.94506,69.5979,53.4294,9.60194,9.9125,18.2502,50.9002,13.7652,29.3253,9.22263,26.0605,21.1405,19.6258,29.7997,33.4989,16.2958,94.9281,67.7728
CCL5,31.7766,3487.39,426.09,214.24,538.215,1506.97,224.8,3362.85,87.9725,740.447,2857.12,1073.75,1792.24,1621.04,572.801,2123.96,332.298,2578.08,311.806,271.339,936.202,854.282,24.5768,478.728
CYP 20.00,60.2135,18.9157,13.3801,28.688,43.2698,55.4037,20.7618,24.1788,41.4356,112.455,8.40526,108.05,10.6865,27.3712,17.4006,123.935,127.093,59.0829,175.45,12.8391,65.1683,31.2888,86.1254,92.9766
