,GSM359972,GSM359973,GSM359974,GSM359975,GSM359976,GSM359977,GSM359978,GSM359979,GSM359980,GSM359981,GSM359982,GSM359983,GSM359984,GSM360039,GSM360040,GSM360041,GSM360042,GSM360043,GSM360044,GSM360045,GSM360046,GSM360047,GSM360048,GSM360049
DDR1,3971.69,1960.09,2783.37,2159.57,1606.38,3678.11,1477.52,2278.2,1020.31,1941.45,1569.94,2207.03,7627.08,4582.94,5291.8,2892.66,4839.49,5249.06,2956.67,5391.1,4536.33,2866.91,4681.64,4283.87
RFC2,318.88,199.035,324.774,299.358,155.957,279.881,100.574,234.04,149.272,95.4396,126.151,225.886,390.509,108.685,94.9019,274.959,154.542,151.369,123.553,163.2,103.614,411.915,76.2613,316.532
AKT2,18.4544,84.2583,9.71042,42.1078,71.6327,137.414,17.5063,,75.9501,6.93646,7.83896,21.6915,229.483,27.8848,99.7214,18.5933,26.3473,15.6233,22.7596,83.1165,358.661,137.164,131.121,59.7002
PAX8,747.052,775.955,1083.99,977.232,641.556,1236.34,508.222,1278.48,528.405,3140.68,1358,5372.87,7491.51,4057.42,13968.9,3325.01,11257.9,17265.8,4382,11731,6002.31,5891.46,7982.93,6829.25
PIK3CA,177.379,293.332,,282.093,193.153,347.261,376.209,250.735,257.848,166.511,381.95,378.325,585.762,348.879,581.188,483.805,398.343,356.357,234.334,245.556,379.708,569.187,192.394,269.643
UBA7,353.961,252.896,230.759,162.752,160.522,252.319,133.184,205.474,79.1525,367.577,164.902,499.743,1099.6,537.324,1014.54,360.671,292.145,1369.64,672.256,909.064,698.491,595.742,683.515,696.297
THRA,319.086,145.504,305.787,236.611,429.066,361.144,143.362,583.964,174.146,460.555,397.803,644.964,549.676,250.626,822.043,268.071,286.204,640.145,565.624,216.355,610.841,322.289,597.976,793.799
CTNNB1,1024.18,765.428,578.325,602.908,630.781,807.786,620.419,1181.83,600.542,873.104,839.727,971.573,301.562,415.003,525.884,387.598,792.489,1069.93,1494.49,616.212,801.333,675.156,755.032,972.095
BRCA1,103.17,265.8,211.498,180.496,199.39,303.357,218.484,147.131,,248.842,171.091,395.573,446.348,343.364,693.716,806.371,435.266,458.117,375.636,228.008,739.534,972.646,92.7481,415.887
ERBB2,320.087,446.255,453.974,399.959,195.571,482.935,226.33,745.257,191.878,330.484,187.241,321.736,517.512,178.223,630.415,134.387,267.735,655.38,692.689,569.801,729.163,356.48,688.773,969.23
